System ID,Public Link,Tag 1 Type,Tag 1 ID,Tag 1 Organization,Tag 2 Type,Tag 2 ID,Tag 2 Organization,Tag 3 Type,Tag 3 ID,Tag 3 Organization,Device Hardware ID,Device Type,Device Chassis,Device Serial Number,Device Model,Device Manufacturer,Registered in,Registered (process),Updated in (software),Updated in (web),Physical state,Trading state,Processor,RAM (MB),Data Storage Size (MB),Processor 1,Processor 1 Manufacturer,Processor 1 Model,Processor 1 Serial Number,Processor 1 Number of cores,Processor 1 Speed (GHz),Benchmark Processor 1 (points),Benchmark ProcessorSysbench Processor 1 (points),Processor 2,Processor 2 Manufacturer,Processor 2 Model,Processor 2 Serial Number,Processor 2 Number of cores,Processor 2 Speed (GHz),Benchmark Processor 2 (points),Benchmark ProcessorSysbench Processor 2 (points),RamModule 1,RamModule 1 Manufacturer,RamModule 1 Model,RamModule 1 Serial Number,RamModule 1 Size (MB),RamModule 1 Speed (MHz),RamModule 2,RamModule 2 Manufacturer,RamModule 2 Model,RamModule 2 Serial Number,RamModule 2 Size (MB),RamModule 2 Speed (MHz),RamModule 3,RamModule 3 Manufacturer,RamModule 3 Model,RamModule 3 Serial Number,RamModule 3 Size (MB),RamModule 3 Speed (MHz),RamModule 4,RamModule 4 Manufacturer,RamModule 4 Model,RamModule 4 Serial Number,RamModule 4 Size (MB),RamModule 4 Speed (MHz),DataStorage 1,DataStorage 1 Manufacturer,DataStorage 1 Model,DataStorage 1 Serial Number,DataStorage 1 Size (MB),Erasure DataStorage 1,Erasure DataStorage 1 Serial Number,Erasure DataStorage 1 Size (MB),Erasure DataStorage 1 Software,Erasure DataStorage 1 Result,Erasure DataStorage 1 Type,Erasure DataStorage 1 Method,Erasure DataStorage 1 Elapsed (hours),Erasure DataStorage 1 Date,Erasure DataStorage 1 Steps,Erasure DataStorage 1 Steps Start Time,Erasure DataStorage 1 Steps End Time,Benchm22ark DataStorage 1 Read Speed (MB/s),Benchmark DataStorage 1 Writing speed (MB/s),Test DataStorage 1 Software,Test DataStorage 1 Type,Test DataStorage 1 Result,Test DataStorage 1 Power on (hours used),Test DataStorage 1 Lifetime remaining (percentage),DataStorage 2,DataStorage 2 Manufacturer,DataStorage 2 Model,DataStorage 2 Serial Number,DataStorage 2 Size (MB),Erasure DataStorage 2,Erasure DataStorage 2 Serial Number,Erasure DataStorage 2 Size (MB),Erasure DataStorage 2 Software,Erasure DataStorage 2 Result,Erasure DataStorage 2 Type,Erasure DataStorage 2 Method,Erasure DataStorage 2 Elapsed (hours),Erasure DataStorage 2 Date,Erasure DataStorage 2 Steps,Erasure DataStorage 2 Steps Start Time,Erasure DataStorage 2 Steps End Time,Benchmark DataStorage 2 Read Speed (MB/s),Benchmark DataStorage 2 Writing speed (MB/s),Test DataStorage 2 Software,Test DataStorage 2 Type,Test DataStorage 2 Result,Test DataStorage 2 Power on (hours used),Test DataStorage 2 Lifetime remaining (percentage),DataStorage 3,DataStorage 3 Manufacturer,DataStorage 3 Model,DataStorage 3 Serial Number,DataStorage 3 Size (MB),Erasure DataStorage 3,Erasure DataStorage 3 Serial Number,Erasure DataStorage 3 Size (MB),Erasure DataStorage 3 Software,Erasure DataStorage 3 Result,Erasure DataStorage 3 Type,Erasure DataStorage 3 Method,Erasure DataStorage 3 Elapsed (hours),Erasure DataStorage 3 Date,Erasure DataStorage 3 Steps,Erasure DataStorage 3 Steps Start Time,Erasure DataStorage 3 Steps End Time,Benchmark DataStorage 3 Read Speed (MB/s),Benchmark DataStorage 3 Writing speed (MB/s),Test DataStorage 3 Software,Test DataStorage 3 Type,Test DataStorage 3 Result,Test DataStorage 3 Power on (hours used),Test DataStorage 3 Lifetime remaining (percentage),DataStorage 4,DataStorage 4 Manufacturer,DataStorage 4 Model,DataStorage 4 Serial Number,DataStorage 4 Size (MB),Erasure DataStorage 4,Erasure DataStorage 4 Serial Number,Erasure DataStorage 4 Size (MB),Erasure DataStorage 4 Software,Erasure DataStorage 4 Result,Erasure DataStorage 4 Type,Erasure DataStorage 4 Method,Erasure DataStorage 4 Elapsed (hours),Erasure DataStorage 4 Date,Erasure DataStorage 4 Steps,Erasure DataStorage 4 Steps Start Time,Erasure DataStorage 4 Steps End Time,Benchmark DataStorage 4 Read Speed (MB/s),Benchmark DataStorage 4 Writing speed (MB/s),Test DataStorage 4 Software,Test DataStorage 4 Type,Test DataStorage 4 Result,Test DataStorage 4 Power on (hours used),Test DataStorage 4 Lifetime remaining (percentage),Motherboard 1,Motherboard 1 Manufacturer,Motherboard 1 Model,Motherboard 1 Serial Number,Display 1,Display 1 Manufacturer,Display 1 Model,Display 1 Serial Number,GraphicCard 1,GraphicCard 1 Manufacturer,GraphicCard 1 Model,GraphicCard 1 Serial Number,GraphicCard 1 Memory (MB),GraphicCard 2,GraphicCard 2 Manufacturer,GraphicCard 2 Model,GraphicCard 2 Serial Number,GraphicCard 2 Memory (MB),NetworkAdapter 1,NetworkAdapter 1 Manufacturer,NetworkAdapter 1 Model,NetworkAdapter 1 Serial Number,NetworkAdapter 2,NetworkAdapter 2 Manufacturer,NetworkAdapter 2 Model,NetworkAdapter 2 Serial Number,SoundCard 1,SoundCard 1 Manufacturer,SoundCard 1 Model,SoundCard 1 Serial Number,SoundCard 2,SoundCard 2 Manufacturer,SoundCard 2 Model,SoundCard 2 Serial Number,Device Rate,Device Range,Processor Rate,Processor Range,RAM Rate,RAM Range,Data Storage Rate,Data Storage Range,Price,Benchmark RamSysbench (points)
138,https://api.usody.com/usody/devices/138,unamed,65Z35,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqtz,Desktop,Tower,czc038bqtz,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 16:02:16 2020,Workbench 11.0b11,2020-10-07 16:02:16.840448+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 335: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,2833,22611.8,10.4244,,,,,,,,,"RamModule 142: model 8jtf25664az-1g4d1, S/N b6b01931",jedec id:80 2c,8jtf25664az-1g4d1,b6b01931,2048,1333,"RamModule 143: model 8jtf25664az-1g4d1, S/N b5b01931",jedec id:80 2c,8jtf25664az-1g4d1,b5b01931,2048,1333,,,,,,,,,,,,,"HardDrive 144: model st3320418as, S/N 5vmhgyjl",seagate,st3320418as,5vmhgyjl,320072,harddrive-seagate-st3320418as-5vmhgyjl,5vmhgyjl,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:59:39,2020-10-07 17:21:29.741543+00:00,✓ – StepRandom 0:59:39,2020-10-07 16:21:49.165602+00:00,2020-10-07 17:21:28.585582+00:00,96.3,22.9,Workbench 11.0b11,Short,Success,2883,"1086 days, 8:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 146: model 3646h, S/N czc038bqtz",hewlett-packard,3646h,czc038bqtz,,,,,"GraphicCard 145: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 139: model 82567lm-3 gigabit network connection, S/N 1c:c1:de:57:5f:2e",intel corporation,82567lm-3 gigabit network connection,1c:c1:de:57:5f:2e,,,,,"SoundCard 140: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,4.02,HIGH,4.0,HIGH,4.16,HIGH,3.88,HIGH,80.40 €,5.9839
147,https://api.usody.com/usody/devices/147,unamed,2BGO5,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqrj,Desktop,Tower,czc038bqrj,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 16:08:34 2020,Workbench 11.0b11,2020-10-07 16:08:34.803657+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 153: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22608.76,10.3701,,,,,,,,,"RamModule 150: model 8jtf25664az-1g4d1, S/N d2c72c29",jedec id:80 2c,8jtf25664az-1g4d1,d2c72c29,2048,1333,"RamModule 151: model m378b5773ch0-ch9, S/N 1f3fef63",jedec id:80 ce,m378b5773ch0-ch9,1f3fef63,2048,1333,,,,,,,,,,,,,"HardDrive 152: model st3320418as, S/N 5vmhgyck",seagate,st3320418as,5vmhgyck,320072,harddrive-seagate-st3320418as-5vmhgyck,5vmhgyck,320072,Workbench 11.0b11,Success,EraseBasic,Shred,1:00:02,2020-10-07 16:08:34.821070+00:00,✓ – StepRandom 1:00:02,2020-10-07 15:08:31.393987+00:00,2020-10-07 16:08:33.659399+00:00,97.6,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 155: model 3646h, S/N czc038bqrj",hewlett-packard,3646h,czc038bqrj,,,,,"GraphicCard 154: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 148: model 82567lm-3 gigabit network connection, S/N 00:23:24:13:a5:ff",intel corporation,82567lm-3 gigabit network connection,00:23:24:13:a5:ff,,,,,"SoundCard 149: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.88,HIGH,79.60 €,6.1094
156,https://api.usody.com/usody/devices/156,unamed,W5LX5,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqrc,Desktop,Tower,czc038bqrc,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 16:10:16 2020,Workbench 11.0b11,2020-10-07 16:10:16.344006+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 162: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22610.76,10417,,,,,,,,,"RamModule 159: model 8jtf25664az-1g4d1, S/N c7c72c29",jedec id:80 2c,8jtf25664az-1g4d1,c7c72c29,2048,1333,"RamModule 160: model 8jtf25664az-1g4d1, S/N c6c72c29",jedec id:80 2c,8jtf25664az-1g4d1,c6c72c29,2048,1333,,,,,,,,,,,,,"HardDrive 161: model st3320418as, S/N 5vmhhd9g",seagate,st3320418as,5vmhhd9g,320072,harddrive-seagate-st3320418as-5vmhhd9g,5vmhhd9g,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:59:45,2020-10-13 14:20:11.032700+00:00,✓ – StepRandom 0:59:45,2020-10-13 13:20:23.791529+00:00,2020-10-13 14:20:09.736915+00:00,97.0,22.9,Workbench 11.0b11,Short,Success,3420,"1096 days, 2:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 164: model 3646h, S/N czc038bqrc",hewlett-packard,3646h,czc038bqrc,,,,,"GraphicCard 163: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 157: model 82567lm-3 gigabit network connection, S/N 00:23:24:13:a7:05",intel corporation,82567lm-3 gigabit network connection,00:23:24:13:a7:05,,,,,"SoundCard 158: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.88,HIGH,79.60 €,6.0292
165,https://api.usody.com/usody/devices/165,unamed,JBRN5,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqtj,Desktop,Tower,czc038bqtj,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 16:12:09 2020,Workbench 11.0b11,2020-10-07 16:12:09.174461+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 167: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,2833,22610.84,10.5241,,,,,,,,,"RamModule 169: model 8jtf25664az-1g4d1, S/N a3b01931",jedec id:80 2c,8jtf25664az-1g4d1,a3b01931,2048,1333,"RamModule 170: model 8jtf25664az-1g4d1, S/N a2b01931",jedec id:80 2c,8jtf25664az-1g4d1,a2b01931,2048,1333,,,,,,,,,,,,,"HardDrive 171: model st3320418as, S/N 9vmnf0bl",seagate,st3320418as,9vmnf0bl,320072,harddrive-seagate-st3320418as-9vmnf0bl,9vmnf0bl,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:59:39,2020-10-07 17:18:05.963638+00:00,✓ – StepRandom 0:59:39,2020-10-07 16:18:25.572743+00:00,2020-10-07 17:18:04.746840+00:00,98.5,23.0,Workbench 11.0b11,Short,Success,1378,"481 days, 14:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 173: model 3646h, S/N czc038bqtj",hewlett-packard,3646h,czc038bqtj,,,,,"GraphicCard 172: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 166: model 82567lm-3 gigabit network connection, S/N 1c:c1:de:57:8e:a6",intel corporation,82567lm-3 gigabit network connection,1c:c1:de:57:8e:a6,,,,,"SoundCard 168: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,4.02,HIGH,4.0,HIGH,4.16,HIGH,3.88,HIGH,80.40 €,5.9815
174,https://api.usody.com/usody/devices/174,unamed,W5PV5,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqrv,Desktop,Tower,czc038bqrv,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 16:14:46 2020,Workbench 11.0b11,2020-10-07 16:14:46.453209+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 176: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22611.12,10.4673,,,,,,,,,"RamModule 177: model 8jtf25664az-1g4d1, S/N c2c72c29",jedec id:80 2c,8jtf25664az-1g4d1,c2c72c29,2048,1333,"RamModule 178: model 8jtf25664az-1g4d1, S/N c1c72c29",jedec id:80 2c,8jtf25664az-1g4d1,c1c72c29,2048,1333,,,,,,,,,,,,,"HardDrive 179: model st3320418as, S/N 5vmhhdk5",seagate,st3320418as,5vmhhdk5,320072,harddrive-seagate-st3320418as-5vmhhdk5,5vmhhdk5,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:59:55,2020-10-07 16:14:46.471696+00:00,✓ – StepRandom 0:59:55,2020-10-07 15:14:51.009279+00:00,2020-10-07 16:14:46.103872+00:00,99.9,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 182: model 3646h, S/N czc038bqrv",hewlett-packard,3646h,czc038bqrv,,,,,"GraphicCard 181: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 175: model 82567lm-3 gigabit network connection, S/N 00:23:24:13:a7:6f",intel corporation,82567lm-3 gigabit network connection,00:23:24:13:a7:6f,,,,,"SoundCard 180: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.88,HIGH,79.60 €,5.9945
183,https://api.usody.com/usody/devices/183,unamed,DBE49,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqt9,Desktop,Tower,czc038bqt9,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 16:15:41 2020,Workbench 11.0b11,2020-10-07 16:15:41.398077+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 185: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,2833,22609.28,10.4465,,,,,,,,,"RamModule 187: model m378b2873eh1-ch9, S/N bad24863",jedec id:80 ce,m378b2873eh1-ch9,bad24863,1024,1333,"RamModule 188: model 8jtf25664az-1g4d1, S/N b3c72c29",jedec id:80 2c,8jtf25664az-1g4d1,b3c72c29,2048,1333,"RamModule 189: model m378b2873eh1-ch9, S/N b7d24863",jedec id:80 ce,m378b2873eh1-ch9,b7d24863,1024,1333,,,,,,,"HardDrive 190: model st3320418as, S/N 9vmnhref",seagate,st3320418as,9vmnhref,320072,harddrive-seagate-st3320418as-9vmnhref,9vmnhref,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:59:46,2020-10-13 15:36:40.585415+00:00,✓ – StepRandom 0:59:46,2020-10-13 14:36:53.290265+00:00,2020-10-13 15:36:39.931812+00:00,95.4,22.8,Workbench 11.0b11,Short,Success,3518,"1547 days, 15:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 192: model 3646h, S/N czc038bqt9",hewlett-packard,3646h,czc038bqt9,,,,,"GraphicCard 191: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 184: model 82567lm-3 gigabit network connection, S/N 00:23:24:13:a5:37",intel corporation,82567lm-3 gigabit network connection,00:23:24:13:a5:37,,,,,"SoundCard 186: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,4.02,HIGH,4.0,HIGH,4.16,HIGH,3.87,HIGH,80.40 €,6.0113
202,https://api.usody.com/usody/devices/202,unamed,3BYJB,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqtp,Desktop,Tower,czc038bqtp,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 16:18:31 2020,Workbench 11.0b11,2020-10-07 16:18:31.152192+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 203: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22611.36,10515,,,,,,,,,"RamModule 205: model 8jtf25664az-1g4d1, S/N 277b1a31",jedec id:80 2c,8jtf25664az-1g4d1,277b1a31,2048,1333,"RamModule 206: model 8jtf25664az-1g4d1, S/N 267b1a31",jedec id:80 2c,8jtf25664az-1g4d1,267b1a31,2048,1333,,,,,,,,,,,,,"HardDrive 207: model st3320418as, S/N 5vmh59jx",seagate,st3320418as,5vmh59jx,320072,harddrive-seagate-st3320418as-5vmh59jx,5vmh59jx,320072,Workbench 11.0b11,Success,EraseBasic,Shred,1:00:09,2020-10-07 16:18:31.170942+00:00,✓ – StepRandom 1:00:09,2020-10-07 15:18:21.635529+00:00,2020-10-07 16:18:30.750273+00:00,97.4,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 210: model 3646h, S/N czc038bqtp",hewlett-packard,3646h,czc038bqtp,,,,,"GraphicCard 209: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 208: model 82567lm-3 gigabit network connection, S/N 1c:c1:de:57:62:36",intel corporation,82567lm-3 gigabit network connection,1c:c1:de:57:62:36,,,,,"SoundCard 204: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.88,HIGH,79.60 €,5.9573
211,https://api.usody.com/usody/devices/211,unamed,G5JNB,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqt8,Desktop,Tower,czc038bqt8,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 16:18:48 2020,Workbench 11.0b11,2020-10-07 16:18:48.597547+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 356: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22610.6,10.4732,,,,,,,,,"RamModule 214: model 8jtf25664az-1g4d1, S/N b1c72c29",jedec id:80 2c,8jtf25664az-1g4d1,b1c72c29,2048,1333,"RamModule 215: model 8jtf25664az-1g4d1, S/N b0c72c29",jedec id:80 2c,8jtf25664az-1g4d1,b0c72c29,2048,1333,,,,,,,,,,,,,"HardDrive 216: model st3320418as, S/N 5vmhhdar",seagate,st3320418as,5vmhhdar,320072,harddrive-seagate-st3320418as-5vmhhdar,5vmhhdar,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:59:47,2020-10-13 14:16:09.817965+00:00,✓ – StepRandom 0:59:47,2020-10-13 13:16:20.622274+00:00,2020-10-13 14:16:08.498548+00:00,93.2,22.6,Workbench 11.0b11,Short,Success,1547,"304 days, 13:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 219: model 3646h, S/N czc038bqt8",hewlett-packard,3646h,czc038bqt8,,,,,"GraphicCard 218: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 217: model 82567lm-3 gigabit network connection, S/N 00:23:24:13:a7:3c",intel corporation,82567lm-3 gigabit network connection,00:23:24:13:a7:3c,,,,,"SoundCard 213: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.87,HIGH,79.60 €,5.9566
220,https://api.usody.com/usody/devices/220,unamed,9VDD9,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqtm,Desktop,Tower,czc038bqtm,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 16:21:01 2020,Workbench 11.0b11,2020-10-07 16:21:01.466439+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 222: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22612.2,10466,,,,,,,,,"RamModule 223: model 8jtf25664az-1g4d1, S/N adb01931",jedec id:80 2c,8jtf25664az-1g4d1,adb01931,2048,1333,"RamModule 224: model 8jtf25664az-1g4d1, S/N abb01931",jedec id:80 2c,8jtf25664az-1g4d1,abb01931,2048,1333,,,,,,,,,,,,,"HardDrive 225: model st3320418as, S/N 5vmh59lr",seagate,st3320418as,5vmh59lr,320072,harddrive-seagate-st3320418as-5vmh59lr,5vmh59lr,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:59:58,2020-10-13 14:12:39.193190+00:00,✓ – StepRandom 0:59:58,2020-10-13 13:12:40.130130+00:00,2020-10-13 14:12:38.445386+00:00,96.5,22.9,Workbench 11.0b11,Short,Success,3363,"1187 days, 10:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 228: model 3646h, S/N czc038bqtm",hewlett-packard,3646h,czc038bqtm,,,,,"GraphicCard 227: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 221: model 82567lm-3 gigabit network connection, S/N 1c:c1:de:57:8e:bb",intel corporation,82567lm-3 gigabit network connection,1c:c1:de:57:8e:bb,,,,,"SoundCard 226: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.88,HIGH,79.60 €,6.0051
229,https://api.usody.com/usody/devices/229,unamed,OBQV5,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqv2,Desktop,Tower,czc038bqv2,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 16:27:18 2020,Workbench 11.0b11,2020-10-07 16:27:18.701978+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 232: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22609.76,10.4609,,,,,,,,,"RamModule 233: model 8jtf25664az-1g4d1, S/N 91b01931",jedec id:80 2c,8jtf25664az-1g4d1,91b01931,2048,1333,"RamModule 234: model 8jtf25664az-1g4d1, S/N 86b01931",jedec id:80 2c,8jtf25664az-1g4d1,86b01931,2048,1333,,,,,,,,,,,,,"HardDrive 235: model st3320418as, S/N 9vmnkrq7",seagate,st3320418as,9vmnkrq7,320072,harddrive-seagate-st3320418as-9vmnkrq7,9vmnkrq7,320072,Workbench 11.0b11,Success,EraseBasic,Shred,1:00:13,2020-10-13 16:30:53.043323+00:00,✓ – StepRandom 1:00:13,2020-10-13 15:30:38.727852+00:00,2020-10-13 16:30:52.121940+00:00,101.0,23.0,Workbench 11.0b11,Short,Success,1204,"414 days, 3:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 237: model 3646h, S/N czc038bqv2",hewlett-packard,3646h,czc038bqv2,,,,,"GraphicCard 236: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 230: model 82567lm-3 gigabit network connection, S/N 1c:c1:de:57:8e:b1",intel corporation,82567lm-3 gigabit network connection,1c:c1:de:57:8e:b1,,,,,"SoundCard 231: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.88,HIGH,79.60 €,6.0343
